delay_location|coordinates
RONCESVALLES AND HOWAR|(43.6514994, -79.4510634)
HOWARD PARK AND RONCES|(43.6514994, -79.4510634)
LAKESHORE AND PARK LAW|(nan, nan)
PARK LAWN AND LAKE SHO|(43.6229412, -79.48128059999999)
QUEEN AND BEATY|(43.6397102, -79.4411384)
GERRARD AND ST MATTHEW|(43.66482910000001, -79.35518569999999)
LESLIE AND COMMISSIONE|(nan, nan)
KINGSTON AND WOODFIELD|(nan, nan)
ST CLAIR UPPER STATION|(nan, nan)
FERRY DOCKS|(43.6416784, -79.37704839999999)
KINGSTON LOOP|(43.7619783, -79.1946749)
QUEEN AND NEVILLE|(nan, nan)
LANSDOWNE LOOP - COLLE|(nan, nan)
KINGSTON RD LOOP|(43.7619783, -79.1946749)
KING AND TRILLER|(43.6376589, -79.44365760000001)
LAKE SHORE AND THIRD|(nan, nan)
BROADVIEW AND JACK LAY|(43.6729037, -79.3557688)
LAKE SHORE AND PARK LA|(34.0549076, -118.242643)
RONCESVALLES AND BOUST|(43.6464617, -79.4435762)
RUSSELL TRAILER TRACK|(nan, nan)
SPADINA TUNNEL|(43.6527581, -79.398087)
KING AND SUDBURY|(43.6409652, -79.4173237)
ST CLAIR AND RUSSELL H|(43.6770883, -79.4465923)
HOWARD PARK LOOP|(43.6478206, -79.4582002)
LESLIE AND COMISSIONER|(nan, nan)
KINGSTON AND DIXON|(nan, nan)
LAKESHORE AND FORTIETH|(43.5926131, -79.54177059999999)
MARINE PARADE AND LAKE|(nan, nan)
LAKESHORE AND THIRTY S|(43.5953546, -79.5297612)
FLEET AND GARRISON|(nan, nan)
QUEENSWAY AND RONCESVA|(43.6387919, -79.4461334)
UPPER GERRARD AND NORW|(43.6708856, -79.3280752)
LAKE SHORE AND 40TH|(43.5926131, -79.54177059999999)
LOWER SPADINA AND LAKE|(43.6381473, -79.3921808)
QUEEN AND ELMGROVE|(43.6416243, -79.4315749)
QUEEN'S QUAY AND SPADI|(43.6382515, -79.3895182)
QUEEN AND DEGRASI|(nan, nan)
LAKE SHORE AND FORTIET|(43.6328215, -79.4363268)
EXHIBTION LOOP|(43.6362392, -79.4155857)
QUEEN AND DEGRASSI|(nan, nan)
BROADVIEW MALE|(nan, nan)
ST CLAIR AND KEELE|(43.672473, -79.4675352)
MALVERN GARAGE|(nan, nan)
LAKESHORE AND 37TH STR|(43.5934222, -79.5381821)
LAKESHORE AND ROYAL YO|(43.60367, -79.4931515)
QUEENS QUAY AND HARBOU|(43.6400699, -79.38020019999999)
LAKE SHORE AND BURLING|(43.6328215, -79.4363268)
LAKE SHORE AND 13TH|(43.594427, -79.5098038)
COLLEGE AND MANNING|(nan, nan)
QUEEN'S PARK AND UNIVE|(43.659884, -79.390349)
QUEEN'S QUAY STATION|(43.6412202, -79.37717099999999)
CHERRY AND FRONT|(nan, nan)
SPADINA AND QUEEN QUAY|(43.6487579, -79.396276)
RICHMOND AND JARVIS|(43.6597077, -79.3755739)
SPADINA AND BLUEJAY WA|(43.6527581, -79.398087)
QUEEN AND ALTON|(nan, nan)
QUEENSWAY AND SUNNYSID|(43.638853, -79.4484657)
BATHURST AND QUEEN (NO|(43.6471969, -79.4039809)
MOUNT DENNIS DIVISION|(43.6928641, -79.4948072)
HOWARD PARK AND PARKSI|(43.64866970000001, -79.4577979)
LESLIE AND EASTERN AV|(43.66193759999999, -79.3287981)
DUFFERIN AND KING (NOR|(43.638954, -79.4273614)
DUNDAS WEST AND EDNA|(43.657274, -79.4526928)
632 GERRARD STREET EAS|(43.6659904, -79.35085699999999)
BLOOR AND DUNDAS WEST|(43.6426178, -79.53223059999999)
DUNDAS AND DENNISON|(43.6520368, -79.4022396)
SPADINA AND BLOOR|(43.6666757, -79.4037616)
QUEEN AND MASSEY|(43.64518349999999, -79.413955)
JARVIS AND RICHMOND|(nan, nan)
THE QUEENSWAY AND WIND|(43.6253329, -79.5072058)
ST CLAIR AND YONGE|(43.6872114, -79.3979925)
QUEEN'S QUAY AND REES|(43.6382515, -79.3895182)
KING AND ST LAWRENCE|(43.6563803, -79.35698699999999)
RIVER AND KING|(nan, nan)
GERRARD AND WOODFIELD|(43.671821, -79.3239708)
QUEEN W AND GLADSTONE|(43.6425333, -79.4271162)
SPRINGHURT LOOP|(43.6338376, -79.430928)
LAKE SHORE AND TWENTY|(43.5977217, -79.5191342)
QUEEN AND SOHO|(43.6493655, -79.39340829999999)
SPADINA STATION - SPAR|(43.6671711, -79.40435339999999)
QUEEN AND BERKELEY|(37.8715226, -122.273042)
QUEEN AND TECUMSETH|(43.6466705, -79.4065926)
KING AND COWAN|(43.6380248, -79.4318773)
WOODBINE ROAD LOOP|(43.6828384, -79.3115968)
RONCESVALLES AND HIGH|(43.6464617, -79.4435762)
COLLEGE AND LASNDOWNE|(nan, nan)
DUNDAS AND COLLEGE|(43.5694532, -79.6289385)
LAKESHORE AN PARK LAWN|(43.6305047, -79.4843454)
THE QUEENSWAY AND RONC|(43.6253329, -79.5072058)
PARKLAWN LOOP|(43.832483, -79.3732033)
QUEEN AND WINEVA|(43.67084, -79.2954013)
ST CLAIR AND ROBINA|(43.6798703, -79.43468940000001)
QUEENSWAY AND COLBOURN|(43.6253329, -79.5072058)
CHURCH AND N OF KING|(nan, nan)
QUEEN'S QUAY AND SIMCO|(43.6506493, -79.38743509999999)
QUEENS QUAY AND LOWER|(43.6382515, -79.3895182)
KINGSTON AND GLEN MANO|(nan, nan)
GERRARD AND MAIN|(43.6708856, -79.3280752)
BROWN'S LINE AND LAKES|(43.6012281, -79.5450186)
ST CLAIR AND CHRISTIE|(43.6816341, -79.4257045)
QUEEN AND KING (W OF D|(43.8795903, -79.738248)
PARLIAMENT N OF DUNDAS|(43.539722, -79.67004899999999)
KING AND PARLIMENT (WE|(43.65420599999999, -79.36097459999999)
CARLTON AND ONTARIO|(43.6637248, -79.3705382)
WOODBINE AND KINGSTON|(43.6739334, -79.3079266)
LOWER GERRARD AND COXW|(43.6753569, -79.32028249999999)
LAKESHORE AND 37 ST|(43.5934222, -79.5381821)
LAKE SHORE AND SUPERIO|(43.6328215, -79.4363268)
DUNDAS AND UNIVERSTIY|(43.6548133, -79.3884774)
MCCAUL AND STEPHANIE|(43.6548028, -79.3916383)
LAKE SHORE AND KIPLING|(43.5982045, -79.5169695)
ROXTON AND DUNDAS|(43.6495712, -79.4195189)
PARK LAWN AND LAKESHOR|(43.6229412, -79.48128059999999)
THE QUEENSWAY AND COLB|(nan, nan)
LAKESHORE AND WINDEMER|(43.6352044, -79.4681797)
BATHURST AND HARBORD|(43.6615246, -79.40975590000001)
718 QUEEN ST EAST|(43.6590338, -79.34961469999999)
LAKESHORE AND TENTH|(43.6000291, -79.50865639999999)
QUEEN AND KINGSTON ROA|(43.7619783, -79.1946749)
MUNRO AND GERRARD|(43.6650711, -79.3543165)
WINDEMERE AND QUEENSWA|(43.6373075, -79.47000729999999)
GERRARD AND SUMAC|(43.6708856, -79.3280752)
DUNDAS WEST TO BROADVI|(43.5694532, -79.6289385)
KING AND BERKLEY|(nan, nan)
SPADNA AND NASSAU|(43.6558393, -79.3993082)
QUEEN AND WOLSELEY|(nan, nan)
QUEEN AND BOOTH|(nan, nan)
UNKNOWN (NONE ON SR)|(nan, nan)
UNSPECIFIED|(nan, nan)
LESLIE|(nan, nan)
DUNDAS WEST AND SPADIN|(43.65291269999999, -79.39815469999999)
QUEENS QUAY AND REYES|(43.6382515, -79.3895182)
HULP|(nan, nan)
BATHURST AND RICHMOND|(43.64646339999999, -79.40371119999999)
LONG|(nan, nan)
UNKNOWN|(nan, nan)
GERRARD AND MUNRO|(43.6650711, -79.3543165)
BROADVIEW AND MT STEPH|(43.6729037, -79.3557688)
BATHUST AND KING|(43.64390350000001, -79.4026703)
QUEEN AND RONCESVALLLE|(43.644334, -79.4180164)
PARLIAMENT AND WELLESL|(43.668188, -79.3695534)
QUEEN AND WODDFIELD|(nan, nan)
GERRARD AND BLACKBURN|(43.6647928, -79.3553044)
DUNDAS AND MARKHAM|(43.6520637, -79.4072483)
BATHURST AND KIING|(43.64390350000001, -79.4026703)
QUEEN AND BATHUST|(43.6471969, -79.4039809)
QUEEN AND BELLEFAIR|(43.6730994, -79.3011039)
QUEEN AND BOOTHBY|(nan, nan)
GERRAND AND MUNRO|(43.6650711, -79.3543165)
PRINCES' GATE LOOP|(43.6355494, -79.409809)
QUEEN AND RONCESVALLE|(43.6464617, -79.4435762)
MCNICOLL GARAGE|(43.8145909, -79.2995899)
MUDU|(nan, nan)
SUMACH AND KING|(nan, nan)
BRQU|(nan, nan)
BATHURST AND NASSAU|(43.6542889, -79.4068205)
GERRARD AND MATTHEWS|(43.6708856, -79.3280752)
LAKE SHORE AND THIRTIE|(43.5953546, -79.5297612)
CNE EAST LOOP|(nan, nan)
QUEENSWAY AND KIPLING|(43.6209038, -79.5266443)
KING AND MORRISON|(nan, nan)
QUEEN AND LEWIS (E OF|(nan, nan)
BROADVIEW AND DANAFORT|(43.6762135, -79.3588475)
LAKESHORE AND MARINE P|(43.630284, -79.4769342)
LONG BRANCH LOOP ( 383|(43.5921181, -79.5436008)
RONCESVALLES AND GRAFT|(43.6464617, -79.4435762)
GREENWOOD TO NEVILLE L|(nan, nan)
QUEEN AND BEECH|(nan, nan)
SPADINA AND QUEENSWAY|(43.6527581, -79.398087)
CNE - SPARE TRACK|(nan, nan)
KING AND BEVERLY|(nan, nan)
BERKELEY AND KING|(37.8715226, -122.273042)
PARLIMENT AND GERRARD|(43.66194780000001, -79.36702509999999)
CASTLE FRANK STATION|(43.6736269, -79.3688482)
ROYAL YORK AND LAKESHO|(43.60367, -79.4931515)
PARLIAMENT AND HOWARD|(nan, nan)
BATHURST S OF BLOOR|(43.598447, -79.61245799999999)
259 WILSON AVE|(43.7375502, -79.43013549999999)
QUEEN AND SORAUREN|(43.63974899999999, -79.4409306)
ST CLAIR AND WARREN|(43.6770883, -79.4465923)
QUEEN AND SORAURAN|(43.63974899999999, -79.4409306)
KING AND SUMARCH|(nan, nan)
QUEEN STATION|(43.6523969, -79.3792228)
COLLEGE AMD BATHURST|(43.65418, -79.4071017)
DUNDAS AND MANNING|(43.6513152, -79.41091)
1009 BATHURST ST|(43.6709012, -79.4133058)
QUEEN AND WOODFEILD|(42.0464163, -88.03712519999999)
231 CARLTON ST|(43.6639892, -79.3685332)
ST CLAIR AND WYCHWOOD|(43.6822108, -79.423504)
DUNDAS WEST STATION -|(43.6568393, -79.45333409999999)
KINSGTON LOOP ( QUEEN|(nan, nan)
QUEEN AND WILLOW AVE (|(nan, nan)
BROADVIEW AND HOGARTH|(43.6733532, -79.35622049999999)
PARLIAMENT AND ADELAID|(43.653568, -79.3635754)
DUNDAS AND KENSINGTON|(43.6525372, -79.3998281)
QUEENWAY AND GLENDALE|(43.6253329, -79.5072058)
ST CLAIR AND BATRHURST|(43.6830782, -79.4182617)
QUEEN AND EMPIRE|(nan, nan)
SUMACH AND KING`|(nan, nan)
QUEENS QUAY AND FERRY|(43.6382515, -79.3895182)
GERRARD AND MUNROE|(43.6708856, -79.3280752)
NONE PROVIDED|(nan, nan)
LAKE SHORE AND THIRTY|(43.5953546, -79.5297612)
LESC|(nan, nan)
STRACHAN AND CANLIFF|(43.6414631, -79.4117444)
298 GERRARD ST E|(43.662146, -79.3667184)
KING AND JOE SHUSTER W|(43.6397139, -79.4235468)
DUNDAS AND LANDSDOWNE|(43.6501696, -79.43974519999999)
MUNROE AND GERRARD|(43.6708856, -79.3280752)
DUNDAS AND ONTARIO|(43.6588576, -79.3685644)
QUEEN'S QUAY (HARBOURF|(43.6386589, -79.3878199)
COLLEGE AND BEVERLY|(nan, nan)
1029 KING STREET WEST|(43.6472532, -79.3866709)
WILSON YARD - TRACK 11|(43.7390505, -79.4546455)
BATHURST AND WOLSLEY|(43.64801970000001, -79.40429329999999)
BATHURST AND WOLSELEY|(43.64801970000001, -79.40429329999999)
341 KING ST W|(43.6460272, -79.3915766)
59 KING ST W|(43.6479578, -79.3829832)
KINGSTON RD ROUTE|(43.7619783, -79.1946749)
125 BLUE JAYS WAY|(43.6457518, -79.3920237)
40 MERCER ST|(43.64570200000001, -79.391598)
SPADINA AND ADALAIDE|(43.6467659, -79.3954519)
KINGSTON AND COLUMBINE|(43.6715109, -79.3103859)
MAIN STATION TO BROADV|(nan, nan)
LAKESHORE AND BATHURST|(43.6364119, -79.3996935)
CANADA BLVD AND FLEET|(43.6348404, -79.4098224)
QUEEN AND SUDBURY|(43.6425333, -79.4271162)
KING AND JOE SHUSTER|(43.6397139, -79.4235468)
315 KING ST W|(43.6462575, -79.3905714)
393 KING ST W|(43.6453796, -79.3936722)
QUEENS QUAY AND DAN LE|(43.6382515, -79.3895182)
381 KING ST W|(43.6457267, -79.39319619999999)
HARVEY SHOP|(nan, nan)
BROADVIEW AND MILLBROO|(43.671983, -79.3548977)
DUNDAS AND BEATRICE|(43.5106999, -79.6946094)
RONCESVALLES AND GEOFF|(43.6480554, -79.4497252)
KING ABND BERKLEY|(nan, nan)
DUNDAS AND RUSHOLME RD|(43.6494957, -79.4267637)
SPADINA STREETCAR TUNN|(43.6527581, -79.398087)
ST CLAIR AND EARSLCOUR|(43.6770415, -79.44744550000001)
CARLTON ROUTE|(nan, nan)
THE QUEENSWAY AND PARK|(43.6253329, -79.5072058)
QUEEN AND BELLEFAIR AV|(43.644334, -79.4180164)
ST CLAIR ROUTE|(43.6770883, -79.4465923)
DUNDAS AND RUSHOLME|(43.6494957, -79.4267637)
KINGSTON AND SILVER BI|(nan, nan)
KINGSTON ROAD AND SILV|(43.7619783, -79.1946749)
DUNDAS AND BEACONSFIEL|(43.6495347, -79.4280806)
DUNDAS AND WOODFIELD|(43.66783299999999, -79.3223273)
QUEEN AND HAMBLY|(43.6710504, -79.2968617)
RONCESVALLES AND GARDE|(43.6463098, -79.4490457)
QUEEN AND BROOKLYN|(40.6781784, -73.9441579)
QUEEN AND COADY|(nan, nan)
KINGSTON AND LEE|(nan, nan)
QUEEN AND MACLEAN|(43.6721006, -79.2912054)
QUEEN AND BALSAM|(nan, nan)
GERRARD AND ST MATHEWS|(43.66482910000001, -79.35518569999999)
RONCESVALLES AND HARVA|(43.6401997, -79.4466908)
BARTHURST AND FLEET|(43.6367945, -79.3998864)
BATHURST AND ULSTER|(43.6598108, -79.409058)
256 RONCESVALLES|(43.6464989, -79.4493196)
SPADINA AND BREMBER|(43.6405651, -79.3928444)
COLLEGE AND DOVERVCOUR|(43.658187, -79.4281812)
KINGSTON RD EAST TO NE|(43.865868, -79.0052675)
ISLINGTON AND LAKE SHO|(43.6007796, -79.50525449999999)
66 RONCESVALLES AVE|(43.6401995, -79.4473076)
THE QUEENSWAY AND HIGH|(43.6306299, -79.4830908)
DUNDAS WEST OF DOVERCO|(43.7860751, -79.5598172)
PALACE PIER CT ( SOUTH|(43.6306619, -79.4741927)
1059 LAKESHORE BLVD E|(43.6596547, -79.3253865)
MAIN ST STATION|(nan, nan)
DUNDAS AND BROCK AVE (|(43.6498894, -79.4356078)
GERRARD AND ST. MATTHE|(43.66482910000001, -79.35518569999999)
DUNDAS AND BEACON FIEL|(43.5106999, -79.6946094)
DUNDAS AND REGENT PARK|(43.6603557, -79.36180379999999)
KING AND LESLIE|(nan, nan)
DUNDAS AND COOLMINE|(43.6494674, -79.4257933)
ST CLAIR AND BATHUST|(43.6830782, -79.4182617)
400 EVANS AVE|(43.615379, -79.52849599999999)
KIPLING AND EVANS|(nan, nan)
QUEEN AND LEE|(nan, nan)
DUNDAS BETWEEN DUFFERI|(44.0527524, -80.1875065)
DUNDAS WEST - WOODBINE|(43.7144731, -79.6041188)
557 GERRARD|(43.6648962, -79.3544203)
QUEEN AND HAMMERSMITH|(51.491187, -0.223731)
DUNDAS AND PALMERSTON|(43.6518046, -79.40848489999999)
QUEEN AND LEUTY|(nan, nan)
QUEEN AND WAVERLEY|(nan, nan)
RUSSELL YARD EB TRAILE|(nan, nan)
SPRINGHURST AND DUFFER|(43.6348863, -79.4258011)
ST CLAIR WEST STAION|(43.6841895, -79.4154172)
DUNDAS AND GLADSTONE|(43.6495821, -79.4298201)
DUNDAS AND LAKEVIEW|(43.6493812, -79.42269619999999)
HOWARD PARK AND INDIAN|(43.6510456, -79.4533658)
DWST|(nan, nan)
QUEEN AND MONROE PARK|(nan, nan)
KING EAST OF CHURCH|(nan, nan)
KINGSTON RD AND HANNAF|(43.7619783, -79.1946749)
KINGSTON AND WOODBINE|(43.6739334, -79.3079266)
BROADVIEW AND FIRST|(43.6729037, -79.3557688)
DUNDAS AND DENSION|(43.6520368, -79.4022396)
ROCESVALLES AND QUEEN|(43.644334, -79.4180164)
QUEEN AND KNOX|(nan, nan)
734 QUEEN|(43.6462193, -79.4099318)
QUEENS QUAY AND BATHUR|(43.6357159, -79.3984369)
DUFFERIN AND THORNBURN|(43.6355901, -79.4260776)
BATHURST AND BARTON|(43.6681198, -79.41237799999999)
QUEEN AND SPADINA TO C|(43.64882100000001, -79.39699759999999)
LAKESHORE AND LOUISA|(nan, nan)
21 MANITOBA DR|(43.6360525, -79.4166808)
LANDSDOWNE LOOP|(43.7055358, -79.4608288)
CHERRY AND EASTERN|(42.9595315, -85.649918)
KINGSON AND QUEEN|(nan, nan)
LAKE SHORE AND 37TH|(43.5934222, -79.5381821)
DUFFERIN AND MELBOURNE|(43.6405804, -79.4279763)
1401 QUEEN ST E|(43.664409, -79.3240888)
BROADVIEW AND BAIN|(43.6704803, -79.3539067)
KING AND BLUE JAYS WAY|(43.6460368, -79.3923068)
COLLEGE - SPADINA TO J|(43.6527581, -79.398087)
DUNDAS AND SORAURAN|(43.6512012, -79.4452851)
200 DANFORTH RD|(43.6998791, -79.27324050000001)
QUEEN AND WINNIFRED|(nan, nan)
SPADINA ROUTE|(43.6527581, -79.398087)
RUSSELL YARD TRAILER T|(nan, nan)
WOLSELEY LOOP ( BATHUR|(43.64801970000001, -79.40429329999999)
GUNNS LOOP TO OAKWOOD|(43.671913, -79.47184)
GUNNS LOOP AND ST CLAI|(43.6718533, -79.4711359)
DUNDAS BAY|(nan, nan)
ST CIAIR STATION|(43.6874845, -79.3930467)
QUEEN - KINGSTON TO NE|(nan, nan)
KING W OF SPADINA|(43.6527581, -79.398087)
BROADVIEW AND S OF GER|(43.6729037, -79.3557688)
CNE EXHIBITION LOOP|(43.6362392, -79.4155857)
KING AND DOWLING|(43.6366658, -79.43857799999999)
PARLIANT AND CARLTON|(nan, nan)
QUEEN QUAY AND HARBOUR|(43.6400699, -79.38020019999999)
LAKE SHORE AND ELLIS|(43.6328215, -79.4363268)
LAKE SHORE AND FOURTEE|(43.5991005, -79.51288840000001)
DUNDAS AND AUGUSTA|(43.65226759999999, -79.4011044)
DUNDAS AND SHERIDAN (D|(43.5694532, -79.6289385)
QUEEN AND SAULTER|(43.6591177, -79.3476304)
QUEEN AND LESLIE - JUS|(nan, nan)
FLEET AND BASTION|(43.6359882, -79.40359269999999)
RONCESVALLES AND FERMA|(43.6464617, -79.4435762)
KING AND GLADSTONE|(43.655364, -79.4320272)
KING AND DUNCAN|(nan, nan)
RUSSELL YARD - TRAILOR|(nan, nan)
MCCOWAN AND ALTON TOWE|(43.8268844, -79.2759011)
CONNAUGHT S OF QUEEN|(nan, nan)
DUNDAS AND BLOOR (DUND|(43.6560119, -79.45254469999999)
BROADVIEW AND MOUNT ST|(43.6729037, -79.3557688)
DUNDAS AND MUNRO|(43.6620645, -79.35305749999999)
RONCESVALLES AND MARIO|(43.6464617, -79.4435762)
EXHIBITION AND LIBERTY|(nan, nan)
BLOOR AND BATHURST|(43.665132, -79.411208)
COXWELL AND NEVILLE LO|(43.6819241, -79.3229987)
QUEEN AND SCABORO BEAC|(nan, nan)
KING AND EDNA|(nan, nan)
QUEEN AND HAMILTON|(43.6512846, -79.382263)
COL SAM SMITH PARK LOO|(43.5978683, -79.5124779)
LAKESHORE AND THIRTY N|(43.5953546, -79.5297612)
QUEEN AND MCGEE|(nan, nan)
370 KING ST W|(43.6465114, -79.3916206)
GERRARD AND NORWOOD|(43.6833834, -79.302855)
LAKE SHORE AND FIRST|(43.6328215, -79.4363268)
LAKESHORE AND TWENTY S|(43.5977217, -79.5191342)
EXHIBITION LOOP AND MA|(43.6362392, -79.4155857)
LAKE SHORE AND SEVENTH|(43.5950651, -79.50290129999999)
QUEEN AND SCARBOROUGH|(43.6512846, -79.382263)
SPADINA ANDSUSSEX|(43.6646377, -79.40282859999999)
CANADA BLVD AND MANITO|(43.6359947, -79.4101831)
CANADA AND STRACHAN|(43.6398931, -79.4111038)
GERRARD AND DVP|(43.6708856, -79.3280752)
DUNDAS ROUTE|(43.5106999, -79.6946094)
QUEEN AND SCARBORO BEA|(nan, nan)
GERRARD AND GLENMOUNT|(43.6708856, -79.3280752)
ST CLAIR AND TWEEDSMUI|(43.6842038, -79.4134174)
LAKE SHORE AND COLONEL|(43.6328215, -79.4363268)
SPADINA AND SPADINA CR|(43.65916259999999, -79.4002618)
LAKE SHORE AND BROWN'S|(43.6328215, -79.4363268)
GERRARD AND HAMILTON|(43.6708856, -79.3280752)
QUEEN AND SHERBOURNE T|(43.661228, -79.3722185)
DUNDAS AND LISGAR|(43.6494957, -79.4267637)
QUEEN AND RONCESVALLS|(43.644334, -79.4180164)
CNE LOOP - EASTREN LOO|(nan, nan)
QUEEN AND MUNRO PARK A|(nan, nan)
LAKESHORE AND BROWNS L|(nan, nan)
KINGSTON AND LAWLOR|(43.68041849999999, -79.28842689999999)
BAY TO YONGE ON COLLEG|(43.9120105, -79.4467502)
CHERRY ST AND FRONT|(43.6526366, -79.3580917)
COLLEGE AND CHURCH|(nan, nan)
DUNDAS WEST AND BLOOR|(43.6426178, -79.53223059999999)
COXWELL AND FAIRFORD (|(43.6753569, -79.32028249999999)
GERRARD AND WODDBINE|(43.6808057, -79.3107465)
ADELAIDE AND BAY|(43.6498929, -79.380774)
KING AND TECUMSEH|(43.6433939, -79.4052578)
QUEEN AND TRILLER|(43.6392009, -79.4437714)
BATHURST AND NIAGARA|(43.6419137, -79.4018782)
NO LOCATION|(nan, nan)
STEELES AND YONGE|(43.7979764, -79.4200378)
QUEEN AND RONCESVASLLE|(43.6464617, -79.4435762)
KING ST WEST PETER|(43.6472532, -79.3866709)
QUEEN AND SARAH ASHBRI|(43.84603269999999, -79.0334828)
QUEEN AND GERRARD|(43.6708856, -79.3280752)
OAKWOOD TO GUNNS LOOP|(43.671913, -79.47184)
TRILLER AND KING|(43.6376589, -79.44365760000001)
RUSSELL YARD EAST TRAI|(nan, nan)
ST CLAIR AND EARLSCOUR|(43.6770415, -79.44744550000001)
BROADVIEW AND MONT STE|(43.6729037, -79.3557688)
WOLFERY AND BROADVIEW|(43.6729037, -79.3557688)
CANADA AND PRINCESS|(56.130366, -106.346771)
DUNDAS WEST STATION.|(43.6568393, -79.45333409999999)
QUEEN AND EASTERN|(nan, nan)
LAKE SHORE AND BROWNS|(43.6328215, -79.4363268)
BROADBIEW AND QUEEN|(43.6729037, -79.3557688)
TRETHEWEY AND EGLINTON|(43.6901541, -79.4750577)
HWARD PARK LOOP|(43.6478206, -79.4582002)
YONGE AND COLLEGE|(43.6613798, -79.383101)
RONCESVALLES AND DUNDA|(43.6538732, -79.451805)
QUEEN AND DUNN|(nan, nan)
PARLIAMENT AND COLLEGE|(nan, nan)
QUEEN AND LANDSDOWNE|(43.6406044, -79.43664609999999)
QUEENS QUAY FERRY DOCK|(43.6416784, -79.37704839999999)
KING AND LOWER RIVER|(43.6561004, -79.355372)
28 HUDDLESTON CT|(nan, nan)
EXHIBIYION LOOP|(43.6362392, -79.4155857)
RUSSELL CAR HOUSE - WE|(nan, nan)
QUEENSWAY AND WINDEMER|(43.6373075, -79.47000729999999)
565 GERRARD ST E|(43.665007, -79.354182)
QUEENAND SILVER BIRCH|(nan, nan)
QUEENS QUAY AND REES|(43.6382515, -79.3895182)
29 QUEEN ST E|(43.6670208, -79.314009)
QUEENSWAY QUAY AND LOW|(43.6253329, -79.5072058)
ELLIS AND THE QUEENSWA|(43.6253329, -79.5072058)
CHERRY AND MILL|(nan, nan)
DISTILLER LOOP|(nan, nan)
BATHURST ST|(43.893229, -79.4693962)
SPADINA KING TO SPADIN|(43.6527581, -79.398087)
STRACHAN AND FLEET|(43.6361837, -79.4095991)
STRACHAN AND|(43.6398931, -79.4111038)
DUNDAS AND PARLIAMANT|(43.6594276, -79.36599559999999)
KINGSTON AND LIBERTY V|(nan, nan)
ST CLAIR AND AVENUE RO|(43.6865435, -79.40145729999999)
PRINCES' GATE AND STRA|(43.6346793, -79.4095262)
KING AND BAHURST|(43.64390350000001, -79.4026703)
DUNDAS AND EDNA|(43.657274, -79.4526928)
PARLIAMENT SOUTH OF GE|(43.6611226, -79.36622349999999)
UNION TUNNEL|(39.3057275, -76.608514)
DUNDAS AND CHESTNUT|(43.6552403, -79.3860026)
BROADVIEW AND GERARRD|(43.6654831, -79.35263359999999)
GERARD AND MUNRO|(nan, nan)
1698 QUEEN STREET|(43.6390952, -79.4448508)
DUNDAS WEST AND DOVERC|(43.6494408, -79.4247374)
LAKESHORE AND BROWNSLI|(nan, nan)
KINGSTON AND VICTORIA|(nan, nan)
LAKE SHORE AND LONG BR|(43.59438410000001, -79.5339748)
LAKESHORE AND ISLINGTO|(43.6007796, -79.50525449999999)
GERRARD AND PRUST|(43.6703356, -79.3305546)
QUEEN'S QUAY TO UNION|(43.6382515, -79.3895182)
CHARLETTE LOOP|(nan, nan)
QUEEN AND NEVILLE PK-|(43.644334, -79.4180164)
ST CLAIR AND SILVERTHR|(43.6770883, -79.4465923)
DUNDAS AND REGENT|(43.65975359999999, -79.3644997)
BATHURST AND QUEEN'S Q|(43.6471969, -79.4039809)
RUSSELL TRAILOR TRACK|(nan, nan)
66 RONCEVALLES AVE|(43.6401995, -79.4473076)
QUEEN AND KINGSTON - E|(nan, nan)
BATHURST AND WOLLESLEY|(43.64801970000001, -79.40429329999999)
135 KING ST E|(43.65003919999999, -79.3733541)
BATHURST TO UNION|(-33.4111857, 149.578693)
QUEEN AND DAVIES|(nan, nan)
LAKESHORE ANF PARKLAWN|(43.6207608, -79.48301219999999)
QUEEN AND FENNINGS|(43.6437231, -79.4211667)
LAKESHORE AND 35TH|(43.5940112, -79.5355812)
1434 QUEEN|(43.6409697, -79.43565869999999)
PRINCES' GATE|(43.6346793, -79.4095262)
332 BLOOR|(43.6668544, -79.4036995)
LESLIE CARHOUSE|(43.6585461, -79.32472829999999)
COLLEGE AND RUSHOLME P|(43.6551232, -79.4288636)
8 EDNA|(43.6572992, -79.45334679999999)
QUEEN AND RONSCESVALLE|(43.6464617, -79.4435762)
BREMNER AND SPADINA`|(43.6405651, -79.3928444)
UNION LRT PLATFORM|(nan, nan)
QUEEN AND DENNISON|(43.6478777, -79.4005919)
HARBOURFRONT TUNNEL|(43.6405521, -79.3789371)
TRAILER TRACK AT RUSSE|(nan, nan)
COLLEGE AND ELIZABETH|(nan, nan)
WINDERMERE AND QUEENSW|(43.6373075, -79.47000729999999)
25 MARTIN GOODMAN TRAI|(43.6354948, -79.441692)
QUEENS QUAY LOOP -LAKE|(43.6382515, -79.3895182)
QUEENSWAY AND PARKLAWN|(43.6290634, -79.4903179)
QUEENSWAY AND ELLIS|(43.6253329, -79.5072058)
KINGSTON AND QUEEN ( N|(nan, nan)
QUEEN AND BEVERLEY|(43.6496392, -79.39211639999999)
ST.CLAIR AND SPADINA R|(43.6830444, -79.40935569999999)
LAKESHORE AND PALACE P|(nan, nan)
LANDSDOWNE AT DUNDAS (|(43.6501696, -79.43974519999999)
755 DUNDAS ST W|(43.5644365, -79.63556070000001)
MILLROAD AND BURNAMTHO|(nan, nan)
